id,name,revenue,employees,founded,biz_type,industry,homepage,last_updated,url
blV6aStSM0NFdW5DR0FkM3BGdTVPZz09,(주)에스더블유엠,,209명,2005년 4월 29일,중소기업,응용 소프트웨어 개발 및 공급업,http://swm.ai,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=blV6aStSM0NFdW5DR0FkM3BGdTVPZz09
ekFIVndxeEwzdno2RjVDajE5S0I0Zz09,(주)오토노머스에이투지,,224명,,중소기업,,http://www.autoa2z.co.kr,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=ekFIVndxeEwzdno2RjVDajE5S0I0Zz09
dTVOQVNSck9VR25ZVTcvWUN5eFBTUT09,(주)에이스웍스코리아,,77명,1999년 9월 1일,스타트업,그 외 자동차용 신품 부품 제조업,http://www.aceworks.ai,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=dTVOQVNSck9VR25ZVTcvWUN5eFBTUT09
YU5KblVZa25vQUhJcDBPbUxhZC9wdz09,(주)웨이브에이아이,,5명,2020년 8월 14일,5                                        명 출처: 국민연금 사원수 9억 7,응용 소프트웨어 개발 및 공급업,,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=YU5KblVZa25vQUhJcDBPbUxhZC9wdz09
U3djaGJMRFdaNG96UWJ3a0w0cjQzZz09,제이알씨모빌리티독일 유한책임회사(영업소),,,2019년 1월 24일,기타,기계·설비·자동차,http://www.jrcm.de,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=U3djaGJMRFdaNG96UWJ3a0w0cjQzZz09
NzFGbzRBcTFPNGducEw1QVViQXRVQT09,(주)긴트,,107명,2015년 10월 2일,중소기업,자동차용 신품 전기장치 제조업,http://www.gintlab.com,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=NzFGbzRBcTFPNGducEw1QVViQXRVQT09
Ny8rNmdwTEc2a0xWdTlIT2IwTjZ2Zz09,(주)위니텍,,292명,1997년 9월 24일,중소기업,컴퓨터시스템 통합 자문 및 구축 서비스업,http://www.winitech.com,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=Ny8rNmdwTEc2a0xWdTlIT2IwTjZ2Zz09
RmRxRkhpSVVVa2kvUXNjR2kyUUZDQT09,(주)파인디지털,708억원(2024),118명,1992년 10월 20일,1000대기업,기타 무선 통신장비 제조업,http://www.finedigital.com,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=RmRxRkhpSVVVa2kvUXNjR2kyUUZDQT09
azZYWksrNG9rQXRRdjMzY1kwejZ1dz09,유징테크(주),25억,24명,2001(26년차),,솔루션·SI·CRM·ERP,http://www.usingtech.co.kr,2026-06-17,https://www.jobkorea.co.kr/company/1952509
RjNoNjBZOGUxTE1hSTQwVlN6S0hGUT09,덕산넵코어스(주),452억원(2024),175명(2026.02.28),2012.12.28(15년차),,"유인 항공기, 항공우주선 및 보조장치 제조업",http://www.dsnc.co.kr,2026-06-17,https://www.jobkorea.co.kr/company/42900513
NUxtd2tJNHMxUHR6dzNGc2NVUGJGdz09,(주)건우솔루션,,59명,2016년 1월 15일,59                                        명 출처: 국민연금 사원수 95억 6,응용 소프트웨어 개발 및 공급업,https://geonwoo.com,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=NUxtd2tJNHMxUHR6dzNGc2NVUGJGdz09
VkZPMTNlMWhvNXBhSHRDVDM5VjA5UT09,(주)퓨처드라이브,,19명,2021년 10월 22일,중소기업,전기ㆍ전자공학 연구개발업,http://www.futuredrive.net,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=VkZPMTNlMWhvNXBhSHRDVDM5VjA5UT09
eVpwVlc1bkRPeE93SnM5bnNrYnd2QT09,(주)유진로봇,260억원(2024),130명,1993년 12월 7일,,산업용 로봇 제조업,http://www.yujinrobot.com,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=eVpwVlc1bkRPeE93SnM5bnNrYnd2QT09
